Date,Close/Last,Volume,Open,High,Low
6/16/25,$329.13 ,83925860,$331.29 ,$332.05 ,$326.41 
6/17/25,$316.35 ,88282670,$326.09 ,$327.26 ,$314.74 
6/18/25,$322.05 ,95137690,$317.31 ,$329.32 ,$315.45 
6/20/25,$322.16 ,108688000,$327.95 ,$332.36 ,$317.78 
6/23/25,$348.68 ,190716800,$327.54 ,$357.54 ,$327.48 
6/24/25,$340.47 ,114736200,$356.17 ,$356.26 ,$340.44 
6/25/25,$327.55 ,119845100,$342.70 ,$343.00 ,$320.40 
6/26/25,$325.78 ,80440910,$324.61 ,$331.05 ,$323.61 
6/27/25,$323.63 ,89067050,$324.51 ,$329.34 ,$317.50 
6/30/25,$317.66 ,76695080,$319.90 ,$325.58 ,$316.60 
7/1/25,$300.71 ,145085700,$298.46 ,$305.89 ,$293.21 
7/2/25,$315.65 ,119483700,$312.63 ,$316.83 ,$303.82 
7/3/25,$315.35 ,58042300,$317.99 ,$318.45 ,$312.76 
7/7/25,$293.94 ,131177900,$291.37 ,$296.15 ,$288.77 
7/8/25,$297.81 ,103246700,$297.00 ,$304.05 ,$294.35 
7/9/25,$295.88 ,75586770,$297.55 ,$300.15 ,$293.55 
7/10/25,$309.87 ,104365300,$300.05 ,$310.48 ,$300.00 
7/11/25,$313.51 ,79236440,$307.89 ,$314.09 ,$305.65 
7/14/25,$316.90 ,78043430,$317.73 ,$322.60 ,$312.67 
7/15/25,$310.78 ,77556350,$319.68 ,$321.20 ,$310.50 
7/16/25,$321.67 ,97284790,$312.80 ,$323.50 ,$312.62 
7/17/25,$319.41 ,73922870,$323.15 ,$324.34 ,$317.06 
7/18/25,$329.65 ,94254990,$321.66 ,$330.90 ,$321.42 
7/21/25,$328.49 ,75768800,$334.40 ,$338.00 ,$326.88 
7/22/25,$332.11 ,77370370,$329.74 ,$335.41 ,$321.55 
7/23/25,$332.56 ,92553760,$330.90 ,$336.20 ,$328.67 
7/24/25,$305.30 ,156966000,$310.00 ,$310.15 ,$300.41 
7/25/25,$316.06 ,148227000,$308.74 ,$323.63 ,$308.01 
7/28/25,$325.59 ,112673800,$318.45 ,$330.49 ,$315.69 
7/29/25,$321.20 ,87358860,$325.55 ,$326.25 ,$318.25 
7/30/25,$319.04 ,83931940,$322.18 ,$324.45 ,$311.62 
7/31/25,$308.27 ,85270920,$319.61 ,$321.37 ,$306.10 
8/1/25,$302.63 ,89121450,$306.21 ,$309.31 ,$297.82 
8/4/25,$309.26 ,78683910,$309.08 ,$312.12 ,$303.00 
8/5/25,$308.72 ,57961280,$308.95 ,$312.45 ,$305.50 
8/6/25,$319.91 ,78523580,$307.89 ,$320.47 ,$306.93 
8/7/25,$322.27 ,66658670,$319.79 ,$322.40 ,$316.16 
8/8/25,$329.65 ,91200320,$321.43 ,$335.15 ,$320.98 
8/11/25,$339.03 ,105320200,$335.00 ,$346.64 ,$334.15 
8/12/25,$340.84 ,80690110,$345.00 ,$345.26 ,$332.94 
8/13/25,$339.38 ,67838890,$341.50 ,$348.98 ,$338.20 
8/14/25,$335.58 ,75000660,$335.76 ,$340.47 ,$330.40 
8/15/25,$330.56 ,74319790,$337.66 ,$339.30 ,$327.02 
8/18/25,$335.16 ,56956550,$329.62 ,$336.27 ,$329.59 
8/19/25,$329.31 ,75956000,$335.79 ,$340.55 ,$327.85 
8/20/25,$323.90 ,77481770,$329.22 ,$331.37 ,$314.60 
8/21/25,$320.11 ,55744450,$322.08 ,$324.90 ,$318.68 
8/22/25,$340.01 ,94016350,$321.66 ,$340.25 ,$319.69 
8/25/25,$346.60 ,86670040,$338.90 ,$349.53 ,$335.03 
8/26/25,$351.67 ,76651550,$344.93 ,$351.90 ,$343.72 
8/27/25,$349.60 ,65519010,$351.94 ,$355.39 ,$349.16 
8/28/25,$345.98 ,67903220,$350.91 ,$353.55 ,$340.26 
8/29/25,$333.87 ,81145660,$347.23 ,$348.75 ,$331.70 
9/2/25,$329.36 ,58391950,$328.23 ,$333.33 ,$325.60 
9/3/25,$334.09 ,88733290,$335.20 ,$343.33 ,$328.51 
9/4/25,$338.53 ,60711030,$336.15 ,$338.89 ,$331.48 
9/5/25,$350.84 ,108989800,$348.00 ,$355.87 ,$344.68 
9/8/25,$346.40 ,75208290,$354.64 ,$358.44 ,$344.84 
9/9/25,$346.97 ,53815990,$348.44 ,$350.77 ,$343.82 
9/10/25,$347.79 ,72121680,$350.55 ,$356.33 ,$346.07 
9/11/25,$368.81 ,103756000,$350.17 ,$368.99 ,$347.60 
9/12/25,$395.94 ,168156400,$370.94 ,$396.69 ,$370.24 
9/15/25,$410.04 ,163823700,$423.13 ,$425.70 ,$402.43 
9/16/25,$421.62 ,104285700,$414.50 ,$423.25 ,$411.43 
9/17/25,$425.86 ,106133500,$415.75 ,$428.31 ,$409.67 
9/18/25,$416.85 ,90454510,$428.87 ,$432.22 ,$416.56 
9/19/25,$426.07 ,93131030,$421.82 ,$429.47 ,$421.72 
9/22/25,$434.21 ,97108780,$431.11 ,$444.98 ,$429.13 
9/23/25,$425.85 ,83422690,$439.88 ,$440.97 ,$423.72 
9/24/25,$442.79 ,93133570,$429.83 ,$444.21 ,$429.03 
9/25/25,$423.39 ,96746430,$435.24 ,$435.35 ,$419.08 
9/26/25,$440.40 ,101628200,$428.30 ,$440.47 ,$421.02 
9/29/25,$443.21 ,79491510,$444.35 ,$450.98 ,$439.50 
9/30/25,$444.72 ,74357960,$441.52 ,$445.00 ,$433.12 
10/1/25,$459.46 ,98122290,$443.80 ,$462.29 ,$440.75 
10/2/25,$436.00 ,137009000,$470.54 ,$470.75 ,$435.57 
10/3/25,$429.83 ,133188200,$443.29 ,$446.77 ,$416.58 
10/6/25,$453.25 ,85324880,$440.75 ,$453.55 ,$436.69 
10/7/25,$433.09 ,102296100,$447.82 ,$452.68 ,$432.45 
10/8/25,$438.69 ,71192130,$437.57 ,$441.33 ,$425.23 
10/9/25,$435.54 ,69339930,$431.81 ,$436.35 ,$426.18 
10/10/25,$413.49 ,112107900,$436.54 ,$443.13 ,$411.45 
10/13/25,$435.90 ,79552790,$423.53 ,$436.89 ,$419.70 
10/14/25,$429.24 ,72669440,$426.79 ,$434.20 ,$417.86 
10/15/25,$435.15 ,71558190,$434.90 ,$440.51 ,$426.33 
10/16/25,$428.75 ,77189890,$434.73 ,$439.35 ,$421.31 
10/17/25,$439.31 ,89331580,$425.50 ,$441.46 ,$423.60 
10/20/25,$447.43 ,63718970,$443.87 ,$449.80 ,$440.61 
10/21/25,$442.60 ,54412170,$445.76 ,$449.30 ,$442.05 
10/22/25,$438.97 ,84023460,$443.45 ,$445.54 ,$429.00 
10/23/25,$448.98 ,126709800,$420.00 ,$449.40 ,$413.90 
10/24/25,$433.72 ,94727770,$446.83 ,$451.68 ,$430.17 
10/27/25,$452.42 ,105867500,$439.98 ,$460.16 ,$438.69 
10/28/25,$460.55 ,80185670,$454.78 ,$467.00 ,$451.60 
10/29/25,$461.51 ,67983540,$462.50 ,$465.70 ,$452.65 
10/30/25,$440.10 ,72447940,$451.05 ,$455.06 ,$439.61 
10/31/25,$456.56 ,83135790,$446.75 ,$458.00 ,$443.69 
11/3/25,$468.37 ,84595240,$455.99 ,$474.07 ,$453.80 
11/4/25,$444.26 ,87756640,$454.46 ,$460.22 ,$443.60 
11/5/25,$462.07 ,85573020,$452.05 ,$466.33 ,$440.71 
11/6/25,$445.91 ,109622900,$461.96 ,$467.45 ,$435.09 
11/7/25,$429.52 ,103471500,$437.92 ,$439.36 ,$421.88 
11/10/25,$445.23 ,76515910,$439.60 ,$449.67 ,$433.36 
11/11/25,$439.62 ,60533240,$439.40 ,$442.49 ,$432.36 
11/12/25,$430.60 ,58513520,$442.15 ,$442.33 ,$426.56 
11/13/25,$401.99 ,118948000,$423.13 ,$424.50 ,$396.34 
